Alimento,Medida Usual,g ou mL,CHO (g),kcal
Bacallhau cozido,escumadeira média,60,0,88
Bacalhoada,colher de sopa,30,2,51
Bolo de chocolate (recheio/cobertura),fatia média,100,54,320
Bombom Alpino®,unidade,13,8,70
Bombom Chokito®,unidade,32,25,140
Bombom diet Cacau Show®,unidade,13,7,56
Bombom Ferrero Rocher®,unidade,12,6,72
Bombom Ouro Branco®,unidade,22,13,117
Bombom Raffaello®,unidade,10,4,62
Bombom Sonho de Valsa®,unidade,22,13,113
Camarão cozido,colher de sopa,20,0,18
Camarão frito,colher de sopa,20,0,37
Caranguejo cozido,porção,100,0,83
Casquinha de siri,unidade,55,1,92
Chocolate ao leite,barra pequena,30,18,160
Chocolate ao leite diet,barra pequena,30,13,157
Chocolate Batom®,unidade,16,10,86
Chocolate Bis®,unidade,7,5,37
Chocolate caramelo Twix®,unidade,16,9,77
Chocolate Diamante Negro®,barra pequena,30,19,156
Chocolate Galak®,barra pequena,30,15,169
Chocolate meio amargo,barra pequena,30,17,154
Chocolate Suflair ®,unidade,30,15,132
Chocolate Talento®,1/4 barra,25,13,137
Chocolate Talento diet®,barra pequena,25,12,129
Colomba Pascal frutas (Bauducco®),fatia,80,41,298
"Colomba Pascal gotas de chocolate
(Bauducco®)",fatia,80,40,350
Colomba Pascal® salgada,porção,100,20,228
Lagosta à Thermidor®,porção,100,13,460
Lasanha de bacalhau e espinafre,porção,200,42,503
Lula cozida,unidade média,80,0,74
M&M´s® amendoim,colher de sopa,12,8,64
M&M´s® chocolate,colher de sopa,12,9,61
Macarrão cremoso com frutos do mar,porção,110,80,692
Nutella®,colher de sopa,20,11,106
Ovo de Páscoa (média),1 pedaço médio,25,15,134
Ovo de Páscoa Amandita®,porção,25,15,135
Ovo de Páscoa Bis®,porção,25,15,130
Ovo de páscoa Diamante Negro®,porção,25,16,128
Ovo de Páscoa Ferrero Rocher®,porção,25,9,151
Ovo de Páscoa Kinder Ovo Maxi ®,porção,25,13,143
Ovo de Páscoa Lacta®,porção,25,15,131
Ovo de Páscoa Lacta Diet®,porção,25,15,111
Ovo de Páscoa Shot®,porção,25,14,134
Ovo de Páscoa Sonho de Valsa®,porção,25,15,134
Peixe grelhado,1 posta ou filé,100,0,180
Polvo cru,porção,200,4,160
Pudim de tapioca com leite condensado,fatia grande,90,40,150
Salmão grelhado,1 filé pequeno,100,0,171
Sardinha assada,porção,100,0,164
